question_id,pred
1,1
2,0
3,1
4,1
5,2
6,1
7,0
8,3
9,1
10,0
11,3
12,1
13,1
14,3
15,0
16,3
17,0
18,0
19,3
20,3
21,1
22,0
23,0
24,3
25,2
26,1
27,3
28,1
29,0
30,0
31,3
32,0
33,1
34,3
35,2
36,0
37,3
38,0
39,0
40,1
41,2
42,0
43,3
44,0
45,1
46,3
47,0
48,0
49,2
50,0
51,0
52,1
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,2
61,0
62,1
63,3
64,0
65,0
66,0
67,2
68,3
69,3
70,2
71,2
72,0
73,0
74,1
75,0
76,3
77,3
78,1
79,2
80,2
81,2
82,2
83,2
84,2
85,1
86,1
87,0
88,1
89,2
90,3
91,0
92,0
93,1
94,1
95,3
96,1
97,1
98,0
99,1
100,0
101,0
102,2
103,2
104,0
105,1
106,0
107,2
108,1
109,2
110,0
111,2
112,3
113,1
114,0
115,1
116,1
117,0
118,1
119,3
120,3
121,0
122,3
123,1
124,3
125,3
126,0
127,0
128,3
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,2
138,1
139,1
140,2
141,1
142,0
143,0
144,1
145,1
146,0
147,2
148,0
149,3
150,1
151,0
152,2
153,3
154,1
155,2
156,2
157,3
158,1
159,1
160,1
161,2
162,1
163,3
164,1
165,2
166,1
167,0
168,3
169,0
170,2
171,1
172,3
173,0
174,1
175,3
176,0
177,2
178,1
179,2
180,3
181,2
182,1
183,2
184,0
185,1
186,2
187,0
188,3
189,1
190,0
191,2
192,0
193,0
194,2
195,3
196,1
197,3
198,0
199,3
200,1
201,0
202,2
203,0
204,1
205,1
206,1
207,0
208,2
209,1
210,0
211,1
212,1
213,3
214,0
215,0
216,3
217,0
218,3
219,0
220,2
221,3
222,3
223,2
224,3
225,0
226,3
227,0
228,2
229,3
230,1
231,2
232,3
233,1
234,3
235,2
236,1
237,0
238,3
239,2
240,1
241,2
242,2
243,1
244,0
245,0
246,0
247,3
248,0
249,3
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,3
267,0
268,1
269,0
270,2
271,3
272,1
273,1
274,1
275,2
276,2
277,3
278,1
279,1
280,3
281,2
282,1
283,1
284,1
285,0
286,0
287,1
288,2
289,2
290,1
291,1
292,2
293,0
294,3
295,0
296,2
297,0
298,2
299,1
300,2
301,3
302,2
303,1
304,0
305,2
306,0
307,3
308,3
309,1
310,1
311,2
312,1
313,3
314,3
315,1
316,0
317,0
318,1
319,3
320,3
321,3
322,1
323,0
324,1
325,1
326,0
327,2
328,3
329,0
330,0
331,3
332,0
333,3
334,1
335,1
336,0
337,3
338,3
339,2
340,0
341,2
342,0
343,1
344,2
345,2
346,1
347,0
348,1
349,1
350,1
351,2
352,2
353,0
354,0
355,0
356,0
357,2
358,1
359,2
360,1
361,2
362,1
363,3
364,0
365,2
366,3
367,1
368,0
369,0
370,0
371,0
372,3
373,1
374,1
375,0
376,3
377,0
378,1
379,1
380,0
381,2
382,1
383,0
384,3
385,0
386,3
387,1
388,0
389,1
390,2
391,1
392,3
393,3
394,1
395,3
396,1
397,0
398,2
399,0
400,3
401,2
402,3
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,2
411,1
412,0
413,0
414,2
415,3
416,0
417,0
418,0
419,0
420,1
421,1
422,1
423,2
424,2
425,1
426,1
427,2
428,2
429,2
430,2
431,0
432,0
433,1
434,1
435,0
436,0
437,2
438,0
439,0
440,2
441,1
442,3
443,1
444,1
445,2
446,1
447,3
448,1
449,1
450,0
451,3
452,3
453,1
454,1
455,0
456,0
457,1
458,0
459,3
460,1
461,1
462,2
463,2
464,2
465,1
466,2
467,2
468,3
469,3
470,1
471,0
472,3
473,3
474,2
475,1
476,0
477,3
478,0
479,2
480,0
481,0
482,3
483,0
484,1
485,1
486,3
487,0
488,3
489,1
490,0
491,0
492,2
493,2
494,0
495,2
496,2
497,1
498,3
499,0
500,2
501,3
502,3
503,0
504,1
505,1
506,2
507,0
508,2
509,2
510,0
511,3
512,0
513,1
514,3
515,0
516,2
517,3
518,2
519,0
520,0
521,1
522,2
523,1
524,0
525,1
526,2
527,1
528,0
529,0
530,2
531,0
532,3
533,2
534,0
535,0
536,0
537,2
538,3
539,2
540,0
541,0
542,0
543,2
544,1
545,0
546,0
547,3
548,3
549,0
550,1
551,3
552,1
553,0
554,2
555,3
556,0
557,0
558,1
559,1
560,3
561,0
562,0
563,1
564,1
565,2
566,3
567,1
568,0
569,2
570,1
571,0
572,0
573,1
574,3
575,0
576,2
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,3
585,1
586,1
587,3
588,2
589,3
590,1
591,1
592,1
593,1
594,1
595,1
596,0
597,0
598,2
599,0
600,0
601,0
602,2
603,1
604,0
605,2
606,0
607,1
608,2
609,2
610,2
611,3
612,2
613,0
614,2
615,1
616,1
617,2
618,2
619,3
620,2
621,1
622,1
623,2
624,1
625,1
626,2
627,1
628,1
629,3
630,0
631,0
632,0
633,2
634,0
635,2
636,0
637,1
638,1
639,3
640,2
641,1
642,2
643,2
644,0
645,2
646,1
647,0
648,3
649,0
650,1
651,1
652,0
653,0
654,3
655,0
656,3
657,0
658,0
659,1
660,1
661,2
662,2
663,2
664,2
665,1
666,3
667,1
668,1
669,2
670,0
671,2
672,3
673,3
674,3
675,2
676,1
677,3
678,0
679,1
680,2
681,1
682,0
683,2
684,2
685,2
686,3
687,3
688,1
689,0
690,0
691,1
692,1
693,1
694,2
695,0
696,0
697,2
698,2
699,1
700,0
701,0
702,2
703,1
704,2
705,1
706,2
707,2
708,0
709,3
710,1
711,2
712,1
713,0
714,3
715,1
716,2
717,0
718,0
719,2
720,1
721,1
722,2
723,1
724,1
725,1
726,2
727,0
728,3
729,2
730,3
731,0
732,0
733,1
734,0
735,0
736,2
737,3
738,2
739,1
740,1
741,0
742,2
743,1
744,0
745,3
746,2
747,0
748,2
749,3
750,1
751,1
752,1
753,3
754,0
755,3
756,3
757,0
758,1
759,3
760,1
761,1
762,0
763,1
764,1
765,0
766,1
767,2
768,1
769,1
770,0
771,3
772,1
773,1
774,2
775,0
776,0
777,0
778,0
779,3
780,2
781,0
782,1
783,0
784,1
785,1
786,0
787,3
788,2
789,1
790,1
791,1
792,2
793,1
794,1
795,3
796,1
797,0
798,2
799,1
800,2
801,0
802,1
803,0
804,3
805,0
806,3
807,1
808,2
809,1
810,3
811,1
812,3
813,0
814,3
815,0
816,0
817,1
818,1
819,0
820,1
821,0
822,0
823,1
824,2
825,1
826,3
827,0
828,2
829,1
830,0
831,0
832,2
833,2
834,2
835,2
836,3
837,2
838,2
839,1
840,3
841,3
842,0
843,1
